Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Arsenal,8,6,1,1,15,3,12,19,2.38,13.6,4.7,8.9,1.11,DWWWW,60155,Viktor Gyökeres - 3,David Raya
2,Sunderland,9,5,2,2,11,7,4,17,1.89,8.5,10.4,-2.0,-0.22,DLWWW,46335,Wilson Isid... - 4,Robin Roefs
3,Manchester City,8,5,1,2,17,6,11,16,2.0,14.4,8.2,6.3,0.78,WDWLW,52311,Erling Haaland - 11,Gianluigi Donnarumma
4,Manchester Utd,9,5,1,3,15,14,1,16,1.78,16.1,13.6,2.5,0.28,LLWWW,73965,Bryan Mbeumo - 4,Altay Bayindir
5,Bournemouth,8,4,3,1,14,11,3,15,1.88,10.4,10.7,-0.3,-0.04,DWDW,11154,Antoine Semenyo - 6,Đorđe Petrović
6,Liverpool,9,5,0,4,16,14,2,15,1.67,15.7,11.4,4.2,0.47,WLLWL,60362,"Mohamed Salah, Cody Gakpo... - 3",Alisson
7,Tottenham,8,4,2,2,14,7,7,14,1.75,8.2,9.0,-0.8,-0.1,WDWLL,61039,Richarlison - 3,Guglielmo Vicario
8,Chelsea,9,4,2,3,17,11,6,14,1.56,13.5,13.0,0.5,0.06,LLWLW,39640,"Enzo Fernández, Moisés Caicedo - 3",Robert Sánchez
9,Crystal Palace,8,3,4,1,12,8,4,13,1.63,17.1,10.8,6.3,0.79,DWLWD,25068,Jean-Philippe Mateta - 5,Dean Henderson
10,Brentford,9,4,1,4,14,14,0,13,1.44,12.9,12.1,0.8,0.08,LWLWW,17014,Thiago - 6,Caoimhin Kelleher
11,Newcastle Utd,9,3,3,3,9,8,1,12,1.33,11.8,6.9,4.9,0.54,DLLWL,52183,Nick Woltemade - 4,Nick Pope
12,Aston Villa,8,3,3,2,8,8,0,12,1.5,6.3,10.6,-4.3,-0.54,DWWLW,41055,"Emi Buendía, Dom... - 2",Emiliano Martínez
13,Brighton,9,3,3,3,14,15,-1,12,1.33,13.1,11.6,1.5,0.17,DWDW,31518,Danny Welbeck - 5,Bart Verbruggen
14,Everton,8,3,2,3,9,9,0,11,1.38,10.8,11.9,-1.1,-0.13,DLWLL,51883,Iliman Ndiaye - 3,Jordan Pickford
15,Leeds United,9,3,2,4,9,14,-5,11,1.22,11.5,9.0,2.5,0.28,WLLW,36722,"Joe Rodon, Noah Okafor - 2",Karl Darlow
16,Fulham,9,2,2,5,9,14,-5,8,0.89,9.0,12.7,-3.8,-0.42,WLLLL,27172,"Raúl Jiménez, Alex Iwobi... - 1",Bernd Leno
17,Burnley,8,2,1,5,9,15,-6,7,0.88,5.4,15.8,-10.4,-1.31,LDLLL,21521,Jaidon Anthony - 4,Martin Dúbravka
18,Nott'ham Forest,8,1,2,5,5,15,-10,5,0.63,8.7,14.1,-5.3,-0.67,LDLLW,30221,Chris Wood - 2,Matz Sels
19,West Ham,9,1,1,7,7,20,-13,4,0.44,7.6,14.8,-7.2,-0.8,LLLLL,62457,Jarrod Bowen - 3,Alphonse Areola
20,Wolves,8,0,2,6,5,16,-11,2,0.25,6.9,10.0,-3.1,-0.39,LLDDL,30510,"Hwang Hee-chan, Santiago Bueno... - 1","Sam Johnstone, José Sá"
